"V1.nome","V2.nome","V3.nome","V4.nome","V5.nome","V6.nome","V7.nome","V8.nome","V9.nome","V10.nome","origem.nome","origem","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Tarauacá AC","Nossa Senhora da Glória SE","São José de Piranhas PB","Jaicós PI","Areia PB","Jataúba PE","Correntes PE","Jaguaquara BA","Brejo da Madre de Deus PE","Itambé BA","Feijó AC",1200302,72,1795,1430,767,1256,1554,1516,2035,1492,2014
"Jiquiriçá BA","Tremedal BA","Areia Branca SE","Guaratinga BA","Atalaia do Norte AM","São João PE","Santo Antônio do Jacinto MG","São Domingos PB","Wenceslau Guimarães BA","Jaguaripe BA","Jordão AC",1200328,2041,2219,1756,1970,80,1615,2945,1422,2242,2037
"Potiretama CE","Ibotirama BA","São João do Paraíso MA","Ererê CE","Olinda Nova do Maranhão MA","Macururé BA","Godofredo Viana MA","Belém do São Francisco PE","Mulungu CE","Equador RN","Mâncio Lima AC",1200336,1037,1985,630,945,578,2065,524,1482,1011,1112
"Bom Jesus do Tocantins PA","Alto Alegre dos Parecis RO","Porto Acre AC","Trairão PA","Macarani BA","São Domingos do Cariri PB","Tacuru MS","Ribeirão do Largo BA","Araponga MG","Bujari AC","Manoel Urbano AC",1200344,173,26,74,286,2063,1421,5173,2154,2283,56
"Piracuruca PI","Belmonte BA","Anadia AL","Água Fria BA","Casserengue PB","Itapororoca PB","Capoeiras PE","Bom Jesus das Selvas MA","Campo Grande AL","Barra de Santa Rosa PB","Marechal Thaumaturgo AC",1200351,829,1869,1651,1831,1297,1333,1505,484,1665,1265
"Tasso Fragoso MA","Lagoinha do Piauí PI","Triunfo PB","Brejões BA","Ouriçangas BA","Arraial PI","Areial PB","Cabeceiras do Piauí PI","Feira Nova SE","Banzaê BA","Plácido de Castro AC",1200385,651,778,1459,1880,2112,681,1258,705,1771,1859
"Massaranduba PB","Capim PB","Betânia do Piauí PI","Itatuba PB","Governador Newton Bello MA","Centro Novo do Maranhão MA","Coité do Nóia AL","Itaguaçu da Bahia BA","Angelim PE","Agrestina PE","Porto Walter AC",1200393,1357,1294,694,1334,530,505,1670,2009,1475,1468
"Camaçari BA","Teixeira de Freitas BA","Aracaju SE","Itabuna BA","Petrolina PE","Cuiabá MT","Macapá AP","Campina Grande PB","Anápolis GO","Mossoró RN","Rio Branco AC",1200401,1897,2214,1754,2003,1590,5215,303,1293,5334,1162
"Lago Verde MA","Capitão Gervásio Oliveira PI","Ilha das Flores SE","Novo Horizonte BA","Reriutaba CE","Maranhãozinho MA","Sebastião Leal PI","Palestina AL","Caaporã PB","Olho D'Água das Cunhãs MA","Rodrigues Alves AC",1200427,550,717,1776,2108,1044,561,874,1715,1281,577
"Cocal dos Alves PI","Igrapiúna BA","Olho D'Água do Casado AL","Floresta do Araguaia PA","Ibirataia BA","Carira SE","Bagre PA","Jardim de Piranhas RN","São João da Ponte MG","Bonito de Santa Fé PB","Santa Rosa do Purus AC",1200435,725,1988,1711,200,1982,1764,166,1136,2971,1275
"Lajedão BA","Itaquiraí MS","Candói PR","Monte Negro RO","Itaperuçu PR","Juti MS","Cândido de Abreu PR","Ibirapuã BA","Capão Bonito do Sul RS","Palmital PR","Senador Guiomard AC",1200450,2052,5140,3974,40,4071,5146,3973,1981,4685,4160
"Amargosa BA","Santo Estêvão BA","Montezuma MG","Águas Vermelhas MG","Ataléia MG","São Sebastião do Maranhão MG","Bandeira MG","Ubaporanga MG","Feira Nova PE","Acrelândia AC","Sena Madureira AC",1200500,1837,2177,2745,2253,2295,3001,2300,3065,1524,53
"Nossa Senhora da Glória SE","Feijó AC","Areia PB","Jataúba PE","Teofilândia BA","Jaguaquara BA","Coronel João Sá BA","Branquinha AL","Arame MA","Mairi BA","Tarauacá AC",1200609,1795,60,1256,1554,2216,2035,1937,1660,466,2069
"Nova Mamoré RO","Frei Paulo SE","São Geraldo da Piedade MG","Peçanha MG","Jaquirana RS","Camacan BA","Passagem Franca do Piauí PI","Lagoa da Confusão TO","Isaías Coelho PI","Trairão PA","Xapuri AC",1200708,24,1772,2961,2810,4827,1896,818,376,763,286
"Alto Alegre dos Parecis RO","Bom Jesus do Tocantins PA","Macarani BA","Ribeirão do Largo BA","Bujari AC","São Bento PB","São Domingos do Cariri PB","Manoel Urbano AC","Trairão PA","Lizarda TO","Porto Acre AC",1200807,26,173,2063,2154,56,1419,1421,63,286,380
"Caraúbas do Piauí PI","São João das Missões MG","Milton Brandão PI","Pedro Alexandre BA","Ninheira MG","Condeúba BA","Bonito de Minas MG","Uiramutã RR","Piranhas AL","Cachoeira do Arari PA","Alvarães AM",1300029,719,2972,795,2123,2760,1932,2331,151,1726,182
"Arauá SE","Sítio Novo MA","Riachão das Neves BA","Tamboril CE","Barra D'Alcântara PI","Peritoró MA","Parnaguá PI","Dom Basílio BA","Morro Cabeça no Tempo PI","Miravânia MG","Amaturá AM",1300060,1755,648,2149,1060,685,591,816,1947,799,2731
"Formosa do Rio Preto BA","Muricilândia TO","Praia Norte TO","Ibititá BA","Santa Terezinha PE","Frecheirinha CE","Esperantina TO","Terra Nova PE","Alcântaras CE","Souto Soares BA","Anamã AM",1300086,1961,390,415,1984,1611,951,359,1635,896,2207
"Lagoa Grande do Maranhão MA","Gado Bravo PB","Campo Grande AL","Itapororoca PB","Conceição do Lago-Açu MA","Frei Lagonegro MG","Aroeiras do Itaim PI","Pariconha AL","Araruna PB","Pedras de Fogo PB","Anori AM",1300102,553,1324,1665,1333,511,2544,680,1718,1255,1381
"Nova Olinda TO","Angicos RN","Rafael Fernandes RN","Pingo-D'Água MG","Caculé BA","Marcos Parente PI","Tenório PB","Assunção PB","São Bento do Tocantins TO","Vila Nova do Piauí PI","Apuí AM",1300144,393,1082,1189,2834,1889,790,1458,1260,431,889
"Guaratinga BA","Jiquiriçá BA","Areia Branca SE","Ituaçu BA","Senador José Porfírio PA","Rurópolis PA","Santo Antônio do Jacinto MG","Pilões PB","São João PE","Jordão AC","Atalaia do Norte AM",1300201,1970,2041,1756,2029,279,254,2945,1385,1615,61
"Cândido Sales BA","Maués AM","Alagoinha PE","Queimadas PB","Pintópolis MG","Aliança PE","Montalvânia MG","Santa Teresinha BA","Verdelândia MG","Padre Paraíso MG","Autazes AM",1300300,1907,115,1471,1396,2835,1472,2736,2174,3082,2785
"São Gabriel da Cachoeira AM","Riacho das Almas PE","Trindade PE","Prado BA","Caatiba BA","Capitão Poço PA","Pauini AM","Nova Ipixuna PA","Eldorado dos Carajás PA","Gilbués PI","Barcelos AM",1300409,126,1597,1639,2139,1886,186,121,228,198,756
"Choró CE","Sítio do Mato BA","Miraíma CE","Orobó PE","Pereiro CE","Patis MG","Piquet Carneiro CE","Banabuiú CE","Urbano Santos MA","Nina Rodrigues MA","Barreirinha AM",1300508,937,2204,1003,1576,1030,2803,1032,912,660,573
"Santo Amaro do Maranhão MA","Araripe CE","Carinhanha BA","Brejo MA","Macaparana PE","Cajari MA","Parambu CE","Barra BA","Alto Santo CE","Lavras da Mangabeira CE","Benjamin Constant AM",1300607,618,906,1915,486,1568,494,1025,1860,898,991
"Paquetá PI","Inhapi AL","Bonito PE","Sátiro Dias BA","Major Isidoro AL","Envira AM","Lastro PB","Inhambupe BA","Pilão Arcado BA","Arataca BA","Beruri AM",1300631,815,1685,1489,2191,1697,97,1346,1991,2125,1854
"Ibaretama CE","Nova Colinas MA","Anajatuba MA","Feira da Mata BA","Presidente Sarney MA","Cabaceiras do Paraguaçu BA","Uruoca CE","Araçoiaba PE","Tabocas do Brejo Velho BA","Lagoa de Itaenga PE","Boa Vista do Ramos AM",1300680,962,574,461,1956,602,1887,1071,1476,2208,1562
"Igreja Nova AL","Oeiras do Pará PA","Poço Redondo SE","Tanhaçu BA","Lagoa Real BA","Santana do Mundaú AL","São João da Fronteira PI","Campo Alegre do Fidalgo PI","Crisópolis BA","Entre Rios BA","Boca do Acre AM",1300706,1684,233,1804,2209,2050,1736,857,710,1941,1951
"Maraã AM","Panelas PE","Traipu AL","Itiúba BA","São Domingos do Capim PA","Salinópolis PA","Joaquim Pires PI","Piranhas AL","Joaquim Gomes AL","Sebastião Barros PI","Borba AM",1300805,114,1581,1749,2027,269,255,772,1726,1691,873
"Queimada Nova PI","São Miguel das Matas BA","Quebrangulo AL","Taipu RN","Sebastião Barros PI","Guajará AM","Cajazeirinhas PB","Belém do Brejo do Cruz PB","Joaquim Gomes AL","Novo Airão AM","Caapiranga AM",1300839,834,2188,1731,1227,873,99,1290,1269,1691,118
"Bananeiras PB","Porto PI","São João de Pirabas PA","Floresta do Piauí PI","Santana do Mundaú AL","Ladainha MG","Recursolândia TO","Encruzilhada BA","Tanhaçu BA","Tanque Novo BA","Canutama AM",1300904,1262,831,274,748,1736,2667,418,1950,2209,2210
"Biritinga BA","Aroeiras PB","Cuité PB","Tacaimbó PE","Capoeiras PE","Baraúna RN","Flores PE","Oliveira dos Brejinhos BA","Feira Grande AL","Fagundes PB","Carauari AM",1301001,1871,1259,1309,1630,1505,1089,1527,2111,1678,1322
"Campo Alegre de Lourdes BA","Turilândia MA","Ipecaetá BA","Santo Antônio do Içá AM","Jenipapo dos Vieiras MA","Tonantins AM","União PI","Augusto Corrêa PA","São Miguel do Tapuio PI","Matias Olímpio PI","Careiro AM",1301100,1899,658,1992,125,544,133,883,163,870,792
"Palmeirais PI","São Miguel do Tapuio PI","Ipecaetá BA","Campo Largo do Piauí PI","Araguatins TO","Santo Antônio do Içá AM","Buriti dos Montes PI","Matias Olímpio PI","Campo Alegre de Lourdes BA","Careiro AM","Careiro da Várzea AM",1301159,814,870,1992,712,324,125,704,792,1899,92
"Rondon do Pará PA","Moju PA","Humaitá AM","Ouricuri PE","Manoel Urbano AC","Camacan BA","São Bento PB","Araponga MG","São Bento do Una PE","Sericita MG","Coari AM",1301209,253,224,100,1578,63,1896,1419,2283,1613,3023
