Lugar;"COD IBGE";"IDHM (1991)";"IDHM (2000)";"IDHM (2010)";"IDHM Renda (1991)";"IDHM Renda (2000)";"IDHM Renda (2010)";"IDHM Longevidade (1991)";"IDHM Longevidade (2000)";"IDHM Longevidade (2010)";"IDHM Educação (1991)";"IDHM Educação (2000)";"IDHM Educação (2010)"
"Itamarati (AM)";130195;0,210;0,331;0,477;0,487;0,507;0,529;0,611;0,661;0,772;0,031;0,108;0,266
"Itapiranga (AM)";130200;0,409;0,478;0,654;0,495;0,465;0,594;0,646;0,714;0,792;0,214;0,329;0,594
"Japurá (AM)";130210;0,208;0,304;0,522;0,482;0,515;0,552;0,640;0,679;0,748;0,029;0,080;0,345
"Juruá (AM)";130220;0,291;0,362;0,522;0,422;0,480;0,538;0,539;0,604;0,704;0,108;0,164;0,376
"Jutaí (AM)";130230;0,187;0,304;0,516;0,438;0,434;0,528;0,576;0,654;0,766;0,026;0,099;0,340
"Lábrea (AM)";130240;0,254;0,386;0,531;0,473;0,456;0,538;0,599;0,688;0,744;0,058;0,183;0,374
"Manacapuru (AM)";130250;0,339;0,437;0,614;0,507;0,517;0,604;0,612;0,694;0,795;0,126;0,232;0,481
"Manaquiri (AM)";130255;0,244;0,429;0,596;0,510;0,543;0,556;0,620;0,670;0,748;0,046;0,217;0,510
"Manaus (AM)";130260;0,521;0,601;0,737;0,676;0,674;0,738;0,681;0,727;0,826;0,307;0,443;0,658
"Manicoré (AM)";130270;0,287;0,398;0,582;0,489;0,460;0,580;0,622;0,693;0,747;0,078;0,198;0,456
"Maraã (AM)";130280;0,265;0,291;0,498;0,444;0,419;0,466;0,599;0,648;0,763;0,070;0,091;0,348
"Maués (AM)";130290;0,333;0,454;0,588;0,475;0,510;0,549;0,660;0,714;0,800;0,118;0,257;0,464
"Nhamundá (AM)";130300;0,356;0,441;0,586;0,456;0,456;0,513;0,599;0,681;0,779;0,165;0,277;0,503
"Nova Olinda do Norte (AM)";130310;0,321;0,373;0,558;0,501;0,520;0,541;0,599;0,681;0,780;0,110;0,147;0,412
"Novo Airão (AM)";130320;0,264;0,428;0,570;0,467;0,509;0,551;0,615;0,666;0,776;0,064;0,231;0,434
"Novo Aripuanã (AM)";130330;0,293;0,387;0,554;0,513;0,522;0,532;0,622;0,688;0,759;0,079;0,161;0,421
"Parintins (AM)";130340;0,414;0,488;0,658;0,520;0,504;0,589;0,637;0,705;0,800;0,214;0,327;0,605
"Pauini (AM)";130350;0,177;0,287;0,496;0,503;0,516;0,531;0,576;0,618;0,724;0,019;0,074;0,317
"Presidente Figueiredo (AM)";130353;0,461;0,537;0,647;0,620;0,624;0,627;0,646;0,721;0,802;0,245;0,344;0,538
"Rio Preto da Eva (AM)";130356;0,353;0,434;0,611;0,536;0,528;0,590;0,646;0,705;0,785;0,127;0,220;0,493
"Santa Isabel do Rio Negro (AM)";130360;0,236;0,384;0,479;0,404;0,416;0,461;0,539;0,621;0,737;0,060;0,220;0,323
"Santo Antônio do Içá (AM)";130370;0,206;0,306;0,490;0,346;0,390;0,438;0,576;0,665;0,759;0,044;0,110;0,353
"São Gabriel da Cachoeira (AM)";130380;0,388;0,478;0,609;0,545;0,528;0,610;0,635;0,727;0,777;0,169;0,285;0,476
"São Paulo de Olivença (AM)";130390;0,269;0,324;0,521;0,357;0,410;0,471;0,576;0,666;0,780;0,095;0,125;0,386
"São Sebastião do Uatumã (AM)";130395;0,354;0,428;0,577;0,385;0,469;0,561;0,614;0,661;0,739;0,187;0,253;0,464
"Silves (AM)";130400;0,373;0,486;0,632;0,529;0,537;0,546;0,660;0,688;0,791;0,149;0,310;0,584
"Tabatinga (AM)";130406;0,333;0,470;0,616;0,506;0,571;0,602;0,669;0,718;0,769;0,109;0,254;0,505
"Tapauá (AM)";130410;0,151;0,293;0,502;0,378;0,399;0,512;0,539;0,604;0,694;0,017;0,104;0,355
"Tefé (AM)";130420;0,349;0,438;0,639;0,510;0,544;0,637;0,660;0,701;0,801;0,126;0,221;0,511
"Tonantins (AM)";130423;0,257;0,327;0,548;0,412;0,425;0,508;0,599;0,666;0,779;0,069;0,124;0,416
"Uarini (AM)";130426;0,290;0,358;0,527;0,411;0,470;0,535;0,620;0,664;0,724;0,096;0,147;0,378
"Urucará (AM)";130430;0,386;0,487;0,620;0,521;0,577;0,551;0,599;0,703;0,754;0,185;0,285;0,575
"Urucurituba (AM)";130440;0,254;0,427;0,588;0,374;0,444;0,538;0,599;0,694;0,776;0,073;0,252;0,487
"Amapá (AP)";160010;0,391;0,498;0,642;0,535;0,567;0,631;0,698;0,728;0,790;0,160;0,299;0,532
"Calçoene (AP)";160020;0,342;0,488;0,643;0,562;0,547;0,636;0,570;0,634;0,759;0,125;0,335;0,550
"Cutias (AP)";160021;0,161;0,444;0,628;0,442;0,471;0,576;0,633;0,696;0,760;0,015;0,267;0,566
"Ferreira Gomes (AP)";160023;0,320;0,537;0,656;0,492;0,533;0,635;0,701;0,754;0,820;0,095;0,385;0,542
"Itaubal (AP)";160025;0,268;0,415;0,576;0,505;0,496;0,528;0,584;0,634;0,758;0,065;0,227;0,477
"Laranjal do Jari (AP)";160027;0,349;0,481;0,665;0,599;0,593;0,641;0,649;0,728;0,801;0,109;0,258;0,573
"Macapá (AP)";160030;0,525;0,622;0,733;0,653;0,667;0,723;0,690;0,754;0,820;0,322;0,478;0,663
"Mazagão (AP)";160040;0,319;0,434;0,592;0,484;0,495;0,609;0,649;0,715;0,758;0,103;0,231;0,449
"Oiapoque (AP)";160050;0,388;0,537;0,658;0,599;0,673;0,693;0,662;0,715;0,779;0,147;0,321;0,527
"Pedra Branca do Amapari (AP)";160015;0,235;0,442;0,626;0,420;0,501;0,628;0,585;0,670;0,779;0,053;0,257;0,502
"Porto Grande (AP)";160053;0,407;0,520;0,640;0,567;0,601;0,610;0,649;0,715;0,777;0,183;0,328;0,554
"Pracuúba (AP)";160055;0,203;0,440;0,614;0,378;0,501;0,539;0,570;0,696;0,790;0,039;0,244;0,544
"Santana (AP)";160060;0,426;0,562;0,692;0,575;0,597;0,654;0,662;0,728;0,794;0,203;0,408;0,638
"Serra do Navio (AP)";160005;0,416;0,569;0,709;0,578;0,571;0,659;0,671;0,728;0,783;0,186;0,444;0,692
"Tartarugalzinho (AP)";160070;0,311;0,450;0,592;0,519;0,497;0,553;0,633;0,696;0,794;0,092;0,263;0,473
"Vitória do Jari (AP)";160080;0,336;0,459;0,619;0,495;0,534;0,587;0,570;0,670;0,781;0,134;0,271;0,517
"Abaíra (BA)";290010;0,352;0,495;0,603;0,456;0,520;0,577;0,636;0,715;0,746;0,150;0,326;0,510
"Abaré (BA)";290020;0,332;0,422;0,575;0,464;0,488;0,533;0,536;0,642;0,776;0,147;0,240;0,460
"Acajutiba (BA)";290030;0,285;0,422;0,582;0,441;0,477;0,560;0,487;0,597;0,723;0,108;0,264;0,487
"Adustina (BA)";290035;0,206;0,347;0,546;0,424;0,492;0,526;0,468;0,584;0,718;0,044;0,146;0,432
"Água Fria (BA)";290040;0,230;0,382;0,550;0,357;0,427;0,529;0,522;0,627;0,747;0,065;0,208;0,422
"Aiquara (BA)";290060;0,293;0,436;0,583;0,453;0,505;0,573;0,561;0,628;0,733;0,099;0,261;0,471
"Alagoinhas (BA)";290070;0,452;0,550;0,683;0,568;0,613;0,681;0,610;0,672;0,790;0,266;0,404;0,592
"Alcobaça (BA)";290080;0,272;0,453;0,608;0,459;0,543;0,611;0,563;0,631;0,771;0,078;0,271;0,476
"Almadina (BA)";290090;0,261;0,405;0,563;0,373;0,487;0,563;0,621;0,657;0,751;0,077;0,207;0,421
"Amargosa (BA)";290100;0,375;0,487;0,625;0,473;0,552;0,616;0,598;0,666;0,807;0,186;0,314;0,492
"Amélia Rodrigues (BA)";290110;0,379;0,513;0,666;0,483;0,552;0,609;0,561;0,673;0,810;0,201;0,363;0,600
"América Dourada (BA)";290115;0,290;0,391;0,561;0,427;0,453;0,506;0,485;0,618;0,751;0,118;0,213;0,464
"Anagé (BA)";290120;0,191;0,308;0,540;0,385;0,431;0,549;0,586;0,649;0,771;0,031;0,104;0,371
"Andaraí (BA)";290130;0,279;0,375;0,555;0,462;0,488;0,540;0,512;0,641;0,764;0,092;0,168;0,415
"Andorinha (BA)";290135;0,206;0,383;0,588;0,416;0,471;0,586;0,481;0,613;0,731;0,044;0,195;0,474
"Angical (BA)";290140;0,312;0,426;0,625;0,432;0,462;0,564;0,642;0,687;0,778;0,110;0,244;0,556
"Anguera (BA)";290150;0,285;0,427;0,589;0,384;0,457;0,565;0,579;0,629;0,766;0,104;0,270;0,471
"Antas (BA)";290160;0,309;0,444;0,592;0,454;0,518;0,573;0,582;0,617;0,739;0,112;0,274;0,491
"Antônio Cardoso (BA)";290170;0,249;0,395;0,561;0,348;0,473;0,544;0,618;0,694;0,768;0,072;0,188;0,422
"Antônio Gonçalves (BA)";290180;0,284;0,422;0,598;0,398;0,468;0,580;0,513;0,627;0,741;0,112;0,256;0,498
"Aporá (BA)";290190;0,284;0,398;0,548;0,414;0,461;0,516;0,610;0,657;0,751;0,091;0,208;0,425
"Apuarema (BA)";290195;0,250;0,386;0,552;0,405;0,456;0,555;0,605;0,650;0,735;0,064;0,194;0,413
"Araças (BA)";290205;0,255;0,363;0,570;0,407;0,439;0,540;0,489;0,617;0,744;0,083;0,177;0,462
"Aracatu (BA)";290200;0,237;0,342;0,581;0,355;0,454;0,591;0,623;0,661;0,754;0,060;0,133;0,439
"Araci (BA)";290210;0,244;0,362;0,534;0,370;0,431;0,534;0,525;0,604;0,747;0,075;0,182;0,381
"Aramari (BA)";290220;0,330;0,454;0,588;0,423;0,516;0,568;0,509;0,638;0,761;0,167;0,285;0,470
"Arataca (BA)";290225;0,247;0,372;0,559;0,411;0,463;0,557;0,504;0,637;0,758;0,073;0,175;0,413
"Aratuípe (BA)";290230;0,293;0,435;0,575;0,437;0,486;0,570;0,524;0,631;0,753;0,110;0,268;0,443
"Aurelino Leal (BA)";290240;0,263;0,365;0,568;0,406;0,440;0,555;0,497;0,626;0,759;0,090;0,177;0,434
"Baianópolis (BA)";290250;0,259;0,383;0,589;0,387;0,469;0,543;0,566;0,622;0,763;0,079;0,193;0,492
"Baixa Grande (BA)";290260;0,269;0,422;0,585;0,372;0,469;0,549;0,620;0,699;0,775;0,084;0,229;0,471
"Banzaê (BA)";290265;0,234;0,393;0,579;0,410;0,450;0,539;0,529;0,641;0,769;0,059;0,210;0,468
"Barra (BA)";290270;0,303;0,378;0,557;0,383;0,428;0,503;0,600;0,651;0,750;0,121;0,194;0,457
"Barra da Estiva (BA)";290280;0,293;0,412;0,575;0,430;0,506;0,566;0,602;0,693;0,717;0,097;0,200;0,469
"Barra do Choça (BA)";290290;0,219;0,316;0,551;0,448;0,460;0,563;0,600;0,642;0,770;0,039;0,107;0,386
"Barra do Mendes (BA)";290300;0,317;0,468;0,630;0,442;0,495;0,578;0,532;0,664;0,784;0,135;0,311;0,553
"Barra do Rocha (BA)";290310;0,223;0,386;0,577;0,390;0,484;0,585;0,497;0,570;0,705;0,057;0,208;0,465
"Barreiras (BA)";290320;0,408;0,572;0,721;0,585;0,641;0,695;0,593;0,705;0,807;0,196;0,414;0,668
"Barro Alto (BA)";290323;0,279;0,435;0,607;0,418;0,473;0,551;0,544;0,627;0,739;0,096;0,277;0,550
"Barrocas (BA)";290327;0,284;0,421;0,610;0,401;0,484;0,574;0,548;0,664;0,786;0,104;0,232;0,503
"Barro Preto (BA)";290330;0,226;0,421;0,602;0,346;0,489;0,576;0,499;0,615;0,744;0,067;0,248;0,508
"Belmonte (BA)";290340;0,310;0,441;0,598;0,464;0,541;0,577;0,524;0,638;0,771;0,123;0,249;0,480
"Belo Campo (BA)";290350;0,252;0,378;0,575;0,443;0,516;0,562;0,634;0,665;0,760;0,057;0,158;0,444
"Biritinga (BA)";290360;0,277;0,396;0,538;0,418;0,481;0,525;0,538;0,604;0,738;0,095;0,213;0,402
"Boa Nova (BA)";290370;0,232;0,319;0,567;0,385;0,414;0,535;0,599;0,648;0,753;0,054;0,121;0,453
"Boa Vista do Tupim (BA)";290380;0,230;0,365;0,551;0,365;0,435;0,514;0,577;0,643;0,729;0,058;0,174;0,447
"Bom Jesus da Lapa (BA)";290390;0,372;0,486;0,633;0,492;0,552;0,615;0,568;0,646;0,775;0,184;0,321;0,533
"Bom Jesus da Serra (BA)";290395;0,187;0,298;0,546;0,401;0,399;0,535;0,562;0,648;0,749;0,029;0,102;0,407
"Boninal (BA)";290400;0,299;0,436;0,612;0,418;0,479;0,564;0,645;0,709;0,789;0,099;0,244;0,514
"Bonito (BA)";290405;0,250;0,326;0,561;0,447;0,470;0,552;0,508;0,552;0,685;0,069;0,134;0,467
"Boquira (BA)";290410;0,304;0,414;0,603;0,405;0,482;0,564;0,625;0,692;0,782;0,111;0,212;0,497
"Botuporã (BA)";290420;0,257;0,393;0,575;0,355;0,401;0,543;0,615;0,692;0,754;0,078;0,218;0,464
"Brejões (BA)";290430;0,299;0,437;0,597;0,435;0,520;0,560;0,632;0,679;0,775;0,097;0,236;0,490
"Brejolândia (BA)";290440;0,271;0,414;0,592;0,405;0,444;0,533;0,632;0,697;0,746;0,078;0,229;0,523
"Brotas de Macaúbas (BA)";290450;0,274;0,404;0,570;0,401;0,441;0,552;0,576;0,649;0,754;0,089;0,231;0,445
"Brumado (BA)";290460;0,387;0,519;0,656;0,570;0,565;0,630;0,591;0,702;0,807;0,172;0,352;0,554
"Buerarema (BA)";290470;0,309;0,420;0,613;0,447;0,496;0,604;0,557;0,631;0,772;0,119;0,236;0,495
"Buritirama (BA)";290475;0,193;0,335;0,565;0,349;0,374;0,504;0,587;0,651;0,761;0,035;0,154;0,471
"Caatiba (BA)";290480;0,262;0,348;0,561;0,463;0,450;0,579;0,599;0,648;0,752;0,065;0,144;0,406
"Cabaceiras do Paraguaçu (BA)";290485;0,240;0,389;0,581;0,354;0,452;0,525;0,544;0,631;0,763;0,072;0,206;0,490
"Cachoeira (BA)";290490;0,399;0,516;0,647;0,481;0,546;0,615;0,585;0,675;0,762;0,226;0,372;0,577
"Caculé (BA)";290500;0,356;0,501;0,637;0,443;0,582;0,621;0,642;0,726;0,769;0,159;0,297;0,541
"Caém (BA)";290510;0,272;0,387;0,546;0,376;0,437;0,535;0,534;0,568;0,701;0,100;0,233;0,434
"Caetanos (BA)";290515;0,180;0,318;0,542;0,378;0,447;0,536;0,595;0,648;0,725;0,026;0,111;0,409
"Caetité (BA)";290520;0,331;0,454;0,625;0,451;0,522;0,631;0,632;0,726;0,801;0,127;0,247;0,484
"Cafarnaum (BA)";290530;0,257;0,417;0,584;0,423;0,499;0,554;0,468;0,611;0,734;0,086;0,237;0,490
"Cairu (BA)";290540;0,259;0,437;0,627;0,447;0,487;0,600;0,634;0,694;0,807;0,061;0,247;0,510
"Caldeirão Grande (BA)";290550;0,273;0,397;0,573;0,417;0,438;0,526;0,504;0,639;0,758;0,097;0,224;0,473
"Camacan (BA)";290560;0,316;0,441;0,581;0,496;0,559;0,608;0,546;0,635;0,768;0,117;0,241;0,419
"Camaçari (BA)";290570;0,422;0,551;0,694;0,559;0,600;0,681;0,586;0,708;0,798;0,230;0,393;0,616
"Camamu (BA)";290580;0,270;0,377;0,565;0,420;0,472;0,562;0,634;0,694;0,710;0,074;0,164;0,452
"Campo Alegre de Lourdes (BA)";290590;0,273;0,365;0,557;0,496;0,505;0,516;0,540;0,648;0,778;0,076;0,148;0,430
"Campo Formoso (BA)";290600;0,261;0,421;0,586;0,414;0,499;0,566;0,512;0,627;0,749;0,084;0,238;0,475
"Canápolis (BA)";290610;0,285;0,435;0,565;0,378;0,486;0,531;0,599;0,670;0,732;0,102;0,252;0,463
"Canarana (BA)";290620;0,296;0,421;0,587;0,484;0,501;0,555;0,479;0,611;0,734;0,112;0,243;0,496
"Canavieiras (BA)";290630;0,318;0,439;0,590;0,449;0,551;0,596;0,548;0,668;0,796;0,131;0,230;0,434
"Candeal (BA)";290640;0,315;0,453;0,587;0,402;0,464;0,554;0,565;0,664;0,787;0,137;0,302;0,465
"Candeias (BA)";290650;0,408;0,548;0,691;0,553;0,582;0,652;0,558;0,684;0,823;0,220;0,414;0,616
"Candiba (BA)";290660;0,333;0,463;0,591;0,391;0,461;0,578;0,632;0,715;0,743;0,150;0,302;0,481
"Cândido Sales (BA)";290670;0,236;0,423;0,601;0,455;0,535;0,565;0,567;0,665;0,798;0,051;0,212;0,482
"Cansanção (BA)";290680;0,251;0,349;0,557;0,459;0,425;0,530;0,484;0,612;0,745;0,071;0,163;0,438
"Canudos (BA)";290682;0,254;0,379;0,562;0,402;0,456;0,554;0,493;0,589;0,707;0,083;0,202;0,453
"Capela do Alto Alegre (BA)";290685;0,280;0,456;0,599;0,459;0,529;0,582;0,575;0,673;0,770;0,083;0,266;0,480
"Capim Grosso (BA)";290687;0,293;0,444;0,621;0,442;0,529;0,620;0,502;0,618;0,752;0,113;0,267;0,514
"Caraíbas (BA)";290689;0,167;0,322;0,555;0,363;0,470;0,570;0,535;0,639;0,739;0,024;0,111;0,405
"Caravelas (BA)";290690;0,271;0,473;0,616;0,467;0,619;0,626;0,555;0,663;0,791;0,077;0,258;0,473
"Cardeal da Silva (BA)";290700;0,270;0,382;0,552;0,432;0,463;0,523;0,535;0,597;0,735;0,085;0,202;0,437
"Carinhanha (BA)";290710;0,250;0,382;0,576;0,395;0,452;0,525;0,556;0,651;0,763;0,071;0,189;0,477
"Casa Nova (BA)";290720;0,280;0,373;0,570;0,463;0,496;0,577;0,553;0,611;0,736;0,086;0,171;0,435
"Castro Alves (BA)";290730;0,351;0,451;0,613;0,452;0,489;0,591;0,638;0,698;0,774;0,150;0,268;0,504
"Catolândia (BA)";290740;0,294;0,426;0,582;0,395;0,443;0,554;0,593;0,680;0,786;0,108;0,256;0,452
"Catu (BA)";290750;0,404;0,536;0,677;0,512;0,580;0,660;0,603;0,679;0,814;0,213;0,390;0,578
"Caturama (BA)";290755;0,246;0,394;0,571;0,379;0,435;0,543;0,613;0,649;0,770;0,064;0,216;0,446
"Central (BA)";290760;0,323;0,453;0,596;0,435;0,490;0,540;0,520;0,590;0,728;0,149;0,322;0,538
"Chorrochó (BA)";290770;0,305;0,426;0,600;0,429;0,460;0,552;0,505;0,649;0,779;0,131;0,259;0,503
"Cícero Dantas (BA)";290780;0,290;0,417;0,585;0,443;0,514;0,590;0,481;0,587;0,712;0,115;0,241;0,477
"Cipó (BA)";290790;0,348;0,444;0,601;0,461;0,505;0,589;0,504;0,626;0,744;0,182;0,277;0,496
"Coaraci (BA)";290800;0,354;0,433;0,613;0,456;0,520;0,615;0,634;0,689;0,762;0,153;0,227;0,491
"Cocos (BA)";290810;0,260;0,413;0,596;0,431;0,482;0,558;0,616;0,672;0,805;0,066;0,217;0,471
"Conceição da Feira (BA)";290820;0,365;0,496;0,634;0,477;0,510;0,606;0,569;0,649;0,766;0,179;0,369;0,548
"Conceição do Almeida (BA)";290830;0,356;0,482;0,606;0,447;0,502;0,578;0,585;0,672;0,805;0,173;0,331;0,479
"Conceição do Coité (BA)";290840;0,313;0,446;0,611;0,448;0,507;0,587;0,528;0,619;0,752;0,130;0,282;0,517
"Conceição do Jacuípe (BA)";290850;0,397;0,531;0,663;0,518;0,569;0,630;0,638;0,670;0,799;0,189;0,392;0,579
"Conde (BA)";290860;0,258;0,398;0,560;0,400;0,480;0,551;0,535;0,629;0,705;0,080;0,209;0,451
"Condeúba (BA)";290870;0,298;0,419;0,582;0,466;0,517;0,559;0,623;0,680;0,789;0,091;0,209;0,447
"Contendas do Sincorá (BA)";290880;0,299;0,417;0,577;0,449;0,502;0,579;0,508;0,603;0,695;0,117;0,240;0,477
"Coração de Maria (BA)";290890;0,309;0,434;0,592;0,493;0,502;0,558;0,556;0,641;0,762;0,108;0,254;0,489
"Cordeiros (BA)";290900;0,265;0,386;0,579;0,396;0,479;0,561;0,618;0,671;0,763;0,076;0,179;0,454
"Coribe (BA)";290910;0,314;0,397;0,600;0,464;0,429;0,545;0,616;0,673;0,807;0,108;0,217;0,491
"Coronel João Sá (BA)";290920;0,176;0,328;0,535;0,418;0,422;0,545;0,542;0,611;0,716;0,024;0,137;0,392
"Correntina (BA)";290930;0,279;0,442;0,603;0,454;0,504;0,575;0,599;0,670;0,792;0,080;0,255;0,481
"Cotegipe (BA)";290940;0,261;0,405;0,590;0,413;0,472;0,545;0,580;0,646;0,746;0,074;0,218;0,504
"Cravolândia (BA)";290950;0,287;0,442;0,599;0,374;0,473;0,559;0,605;0,680;0,765;0,104;0,268;0,503
"Crisópolis (BA)";290960;0,251;0,366;0,543;0,448;0,480;0,542;0,512;0,641;0,765;0,069;0,159;0,387
"Cristópolis (BA)";290970;0,282;0,427;0,614;0,449;0,470;0,546;0,577;0,657;0,766;0,087;0,252;0,553
"Cruz das Almas (BA)";290980;0,451;0,574;0,699;0,528;0,592;0,659;0,633;0,705;0,796;0,275;0,452;0,650
"Curaçá (BA)";290990;0,291;0,424;0,581;0,461;0,504;0,544;0,553;0,648;0,778;0,097;0,234;0,463
"Dário Meira (BA)";291000;0,203;0,348;0,540;0,374;0,415;0,522;0,499;0,641;0,771;0,045;0,159;0,392
"Dias D'Ávila (BA)";291005;0,416;0,540;0,676;0,568;0,585;0,651;0,591;0,716;0,811;0,214;0,375;0,584
"Dom Basílio (BA)";291010;0,310;0,434;0,591;0,442;0,489;0,547;0,620;0,670;0,783;0,109;0,249;0,482
"Dom Macedo Costa (BA)";291020;0,326;0,469;0,632;0,429;0,509;0,598;0,631;0,668;0,795;0,128;0,304;0,531
"Elísio Medrado (BA)";291030;0,341;0,472;0,623;0,425;0,524;0,590;0,645;0,686;0,777;0,145;0,293;0,527
"Encruzilhada (BA)";291040;0,234;0,359;0,544;0,428;0,480;0,533;0,613;0,685;0,754;0,049;0,141;0,400
"Entre Rios (BA)";291050;0,298;0,451;0,615;0,448;0,529;0,602;0,532;0,664;0,785;0,111;0,262;0,492
"Érico Cardoso (BA)";290050;0,285;0,379;0,584;0,403;0,467;0,558;0,638;0,670;0,758;0,090;0,174;0,471
"Esplanada (BA)";291060;0,336;0,435;0,589;0,474;0,493;0,589;0,538;0,611;0,740;0,149;0,273;0,469
"Euclides da Cunha (BA)";291070;0,257;0,408;0,567;0,409;0,484;0,565;0,505;0,630;0,749;0,082;0,222;0,430
"Eunápolis (BA)";291072;0,392;0,540;0,677;0,543;0,628;0,687;0,627;0,672;0,791;0,177;0,373;0,572
"Fátima (BA)";291075;0,230;0,362;0,559;0,374;0,489;0,554;0,439;0,571;0,686;0,074;0,170;0,459
"Feira da Mata (BA)";291077;0,292;0,442;0,588;0,504;0,515;0,527;0,568;0,651;0,763;0,087;0,258;0,505
"Feira de Santana (BA)";291080;0,460;0,585;0,712;0,591;0,634;0,710;0,603;0,716;0,820;0,273;0,440;0,619
"Filadélfia (BA)";291085;0,246;0,369;0,565;0,393;0,415;0,553;0,483;0,610;0,726;0,078;0,198;0,450
"Firmino Alves (BA)";291090;0,341;0,472;0,578;0,471;0,520;0,596;0,618;0,680;0,699;0,136;0,297;0,464
"Floresta Azul (BA)";291100;0,347;0,454;0,557;0,435;0,502;0,548;0,629;0,686;0,731;0,153;0,271;0,431
"Formosa do Rio Preto (BA)";291110;0,376;0,449;0,618;0,512;0,572;0,576;0,593;0,655;0,763;0,175;0,241;0,536
"Gandu (BA)";291120;0,380;0,484;0,632;0,562;0,586;0,645;0,551;0,674;0,771;0,177;0,287;0,508
"Gavião (BA)";291125;0,301;0,422;0,599;0,490;0,482;0,566;0,597;0,663;0,747;0,093;0,235;0,508
"Gentio do Ouro (BA)";291130;0,293;0,414;0,559;0,498;0,510;0,523;0,544;0,612;0,743;0,093;0,227;0,450
"Glória (BA)";291140;0,308;0,421;0,593;0,436;0,497;0,563;0,591;0,714;0,775;0,113;0,211;0,479
"Gongogi (BA)";291150;0,277;0,389;0,576;0,372;0,434;0,543;0,600;0,651;0,773;0,095;0,209;0,456
"Governador Mangabeira (BA)";291160;0,359;0,514;0,643;0,416;0,508;0,594;0,585;0,715;0,754;0,190;0,373;0,594
"Guajeru (BA)";291165;0,221;0,333;0,569;0,367;0,482;0,548;0,625;0,697;0,770;0,047;0,110;0,437
"Guanambi (BA)";291170;0,413;0,548;0,673;0,524;0,586;0,663;0,666;0,698;0,789;0,202;0,403;0,584
"Guaratinga (BA)";291180;0,253;0,356;0,558;0,491;0,483;0,559;0,542;0,626;0,766;0,061;0,149;0,406
"Heliópolis (BA)";291185;0,227;0,370;0,563;0,390;0,470;0,547;0,524;0,615;0,748;0,057;0,175;0,437
"Iaçu (BA)";291190;0,281;0,396;0,574;0,433;0,494;0,588;0,477;0,570;0,697;0,107;0,220;0,461
"Ibiassucê (BA)";291200;0,301;0,437;0,611;0,396;0,509;0,608;0,642;0,704;0,789;0,107;0,233;0,476
"Ibicaraí (BA)";291210;0,334;0,449;0,625;0,466;0,526;0,609;0,571;0,627;0,764;0,140;0,274;0,524
"Ibicoara (BA)";291220;0,270;0,393;0,591;0,394;0,559;0,583;0,567;0,619;0,731;0,088;0,176;0,484
"Ibicuí (BA)";291230;0,305;0,424;0,584;0,550;0,530;0,586;0,577;0,639;0,780;0,089;0,225;0,435
"Ibipeba (BA)";291240;0,318;0,455;0,616;0,440;0,485;0,577;0,525;0,612;0,744;0,139;0,318;0,545
"Ibipitanga (BA)";291250;0,231;0,389;0,584;0,447;0,507;0,553;0,626;0,694;0,757;0,044;0,167;0,475
"Ibiquera (BA)";291260;0,199;0,368;0,511;0,388;0,453;0,517;0,497;0,641;0,771;0,041;0,171;0,335
"Ibirapitanga (BA)";291270;0,229;0,391;0,558;0,392;0,460;0,561;0,569;0,651;0,748;0,054;0,200;0,415
"Ibirapuã (BA)";291280;0,358;0,488;0,614;0,464;0,544;0,641;0,665;0,721;0,774;0,149;0,296;0,467
"Ibirataia (BA)";291290;0,297;0,422;0,576;0,453;0,502;0,571;0,634;0,664;0,789;0,091;0,225;0,424
"Ibitiara (BA)";291300;0,288;0,424;0,585;0,388;0,489;0,550;0,625;0,692;0,744;0,099;0,225;0,490
"Ibititá (BA)";291310;0,285;0,435;0,602;0,432;0,485;0,554;0,468;0,613;0,747;0,115;0,277;0,527
"Ibotirama (BA)";291320;0,331;0,500;0,636;0,469;0,574;0,601;0,626;0,704;0,780;0,123;0,310;0,548
"Ichu (BA)";291330;0,427;0,516;0,631;0,448;0,513;0,580;0,589;0,657;0,771;0,295;0,408;0,562
"Igaporã (BA)";291340;0,345;0,468;0,614;0,412;0,513;0,586;0,632;0,704;0,766;0,158;0,284;0,516
"Igrapiúna (BA)";291345;0,219;0,342;0,574;0,423;0,450;0,565;0,607;0,694;0,789;0,041;0,128;0,424
"Iguaí (BA)";291350;0,267;0,411;0,552;0,451;0,505;0,559;0,620;0,696;0,786;0,068;0,198;0,382
"Ilhéus (BA)";291360;0,389;0,521;0,690;0,525;0,607;0,688;0,660;0,708;0,808;0,170;0,329;0,590
"Inhambupe (BA)";291370;0,263;0,381;0,565;0,418;0,478;0,556;0,489;0,630;0,757;0,089;0,184;0,429
"Ipecaetá (BA)";291380;0,223;0,363;0,550;0,410;0,456;0,506;0,533;0,642;0,776;0,051;0,163;0,424
"Ipiaú (BA)";291390;0,362;0,498;0,670;0,537;0,578;0,687;0,556;0,679;0,796;0,159;0,315;0,551
"Ipirá (BA)";291400;0,264;0,382;0,549;0,447;0,497;0,568;0,581;0,615;0,748;0,071;0,182;0,390
"Ipupiara (BA)";291410;0,323;0,464;0,590;0,429;0,488;0,558;0,614;0,686;0,736;0,128;0,298;0,499
"Irajuba (BA)";291420;0,244;0,378;0,576;0,378;0,458;0,544;0,571;0,643;0,776;0,067;0,184;0,453
