Lugar;"COD IBGE";"IDHM (1991)";"IDHM (2000)";"IDHM (2010)";"IDHM Renda (1991)";"IDHM Renda (2000)";"IDHM Renda (2010)";"IDHM Longevidade (1991)";"IDHM Longevidade (2000)";"IDHM Longevidade (2010)";"IDHM Educação (1991)";"IDHM Educação (2000)";"IDHM Educação (2010)"
"Igaci (AL)";270310;0,241;0,366;0,564;0,390;0,396;0,547;0,512;0,650;0,774;0,070;0,191;0,424
"Igreja Nova (AL)";270320;0,220;0,374;0,568;0,391;0,428;0,556;0,559;0,698;0,771;0,049;0,175;0,428
"Inhapi (AL)";270330;0,189;0,281;0,484;0,364;0,409;0,501;0,467;0,603;0,718;0,040;0,090;0,316
"Jacaré dos Homens (AL)";270340;0,296;0,400;0,583;0,439;0,535;0,543;0,516;0,634;0,759;0,114;0,188;0,481
"Jacuípe (AL)";270350;0,229;0,358;0,548;0,437;0,434;0,532;0,552;0,634;0,755;0,050;0,167;0,410
"Japaratinga (AL)";270360;0,331;0,414;0,570;0,437;0,490;0,560;0,627;0,700;0,735;0,132;0,207;0,451
"Jaramataia (AL)";270370;0,221;0,386;0,552;0,381;0,441;0,532;0,488;0,629;0,701;0,058;0,207;0,451
"Jequiá da Praia (AL)";270375;0,260;0,382;0,556;0,431;0,445;0,517;0,537;0,650;0,772;0,076;0,192;0,430
"Joaquim Gomes (AL)";270380;0,223;0,349;0,531;0,399;0,440;0,509;0,548;0,634;0,764;0,051;0,152;0,386
"Jundiá (AL)";270390;0,278;0,380;0,562;0,453;0,443;0,573;0,500;0,631;0,715;0,095;0,196;0,434
"Junqueiro (AL)";270400;0,281;0,426;0,575;0,429;0,482;0,586;0,552;0,674;0,714;0,094;0,238;0,454
"Lagoa da Canoa (AL)";270410;0,248;0,383;0,552;0,406;0,435;0,541;0,516;0,634;0,703;0,073;0,204;0,443
"Limoeiro de Anadia (AL)";270420;0,214;0,369;0,580;0,394;0,442;0,575;0,516;0,637;0,742;0,048;0,178;0,457
"Maceió (AL)";270430;0,507;0,584;0,721;0,649;0,689;0,739;0,594;0,667;0,799;0,339;0,433;0,635
"Major Isidoro (AL)";270440;0,281;0,365;0,566;0,437;0,441;0,566;0,516;0,634;0,755;0,098;0,174;0,424
"Maragogi (AL)";270450;0,278;0,419;0,574;0,421;0,465;0,556;0,578;0,714;0,766;0,088;0,222;0,443
"Maravilha (AL)";270460;0,300;0,343;0,569;0,367;0,381;0,539;0,555;0,664;0,742;0,132;0,160;0,460
