"NM_MUNICIPIO_CONVENENTE","cod7","total.pjs","documentos.liquidacao","licitacao","dispensa","beneficiarios.pjs","acima10K","acima1M","top10pc.quanto"
"CAPELA",2801306,495880.19,4,1,0,1,1,0,1
"CAPELA DE SANTANA",4304689,529799.05,2,1,0,2,2,0,0.511135401243169
"CAPELA DO ALTO",3510302,561301.6,11,1,0,1,1,0,1
"CAPELA NOVA",3112208,120370,4,1,0,4,3,0,0.643848134917338
"CAPELINHA",3112307,740390.7,18,1,0,5,5,0,0.592849153831889
"CAPETINGA",3112406,202000,1,1,0,1,1,0,1
"CAPIM BRANCO",3112505,300890.37,2,1,0,1,1,0,1
"CAPINOPOLIS",3112604,270800,2,1,0,2,2,0,0.769940915805022
"CAPINZAL",4203907,486992.66,14,1,0,4,4,0,0.541747384857916
"CAPINZAL DO NORTE",2102754,427671.23,1,1,0,1,1,0,1
"CAPITAO",4304697,389600.58,3,1,0,3,3,0,0.654517968120068
"CAPITAO ANDRADE",3112653,122962.17,2,1,0,1,1,0,1
"CAPITAO LEONIDAS MARQUES",4104600,2221132.34,35,1,0,16,15,0,0.157577283305866
"CAPITOLIO",3112802,241360.98,3,1,0,1,1,0,1
"CAPIVARI",3510401,431139.44,5,0.971376383473523,0.0286236165264769,3,3,0,0.670274238886612
"CAPIVARI DE BAIXO",4203956,243183.64,4,1,0,1,1,0,1
"CAPIVARI DO SUL",4304671,544951.92,11,1,0,8,8,0,0.465273927285181
"CAPUTIRA",3112901,893352.28,8,1,0,6,6,0,0.381708322275732
"CARACARAI",1400209,2969074.28,28,1,0,5,5,1,0.437266183855798
"CARACOL",2202505,193565.98,2,0.938150185275326,0.0618498147246743,2,2,0,0.938150185275326
"CARACOL",5002803,549932.67,6,1,0,5,5,0,0.363499044346647
"CARAI",3113008,252113.19,4,1,0,2,2,0,0.832959195827874
"CARAMBEI",4104659,656564.48,11,1,0,7,4,0,0.443909439024176
"CARAPICUIBA",3510609,58796.31,4,1,0,2,1,0,0.83978229246019
"CARATINGA",3113404,1682044.41,17,1,0,7,7,0,0.399513827343001
"CARAUBAS",2504074,483000,6,1,0,1,1,0,1
