"n1","n2","n3","n4","n5","n6","origem","origem.nome","n1.nome","n2.nome","n3.nome"
5006358,3156502,1707207,3164506,3127057,2928505,1400282,"Iracema RR","Paranhos MS","Rubelita MG","Dois Irmãos do Tocantins TO"
3205036,4126306,3305901,1101468,3163409,3137700,1400308,"Mucajaí RR","Vargem Alta ES","Sengés PR","Trajano de Moraes RJ"
1504109,3120300,2706406,2909109,3129657,3170909,1400407,"Normandia RR","Magalhães Barata PA","Cristália MG","Pão de Açúcar AL"
2406908,4117271,3116001,5108105,2313104,2801504,1400456,"Pacaraima RR","Lucrécia RN","Nova Tebas PR","Chalé MG"
1709807,1710706,3155603,3129608,3126505,3138682,1400472,"Rorainópolis RR","Ipueiras TO","Itaguatins TO","Rio Pardo de Minas MG"
2412104,3505351,2102556,2312502,1101484,3163300,1400506,"São João da Baliza RR","São João do Sabugi RN","Barra do Chapéu SP","Campestre do Maranhão MA"
2408508,5204953,3132107,2413003,2923506,2312502,1400605,"São Luiz RR","Ouro Branco RN","Campos Verdes GO","Itacarambi MG"
1501956,1301803,2106359,1501105,1500305,2105476,1400704,"Uiramutã RR","Cachoeira do Piriá PA","Ipixuna AM","Marajá do Sena MA"
3161106,2311405,2920601,2301000,3124302,2605202,1500107,"Abaetetuba PA","São Francisco MG","Quixeramobim CE","Maragogipe BA"
3112653,2514008,3108800,2801009,3107802,3120839,1500131,"Abel Figueiredo PA","Capitão Andrade MG","São João do Cariri PB","Braúnas MG"
1505205,1507805,1302306,1503457,2209872,1502806,1500206,"Acará PA","Oeiras do Pará PA","Senador José Porfírio PA","Jutaí AM"
1301803,2202729,1502806,1501105,1500701,1505908,1500305,"Afuá PA","Ipixuna AM","Cocal dos Alves PI","Curralinho PA"
1505635,3145307,3102407,3156007,2913507,2913457,1500347,"Água Azul do Norte PA","Piçarra PA","Novo Cruzeiro MG","Alvorada de Minas MG"
1300805,1301100,2905909,1301159,2206100,2205276,1500404,"Alenquer PA","Borba AM","Careiro AM","Campo Alegre de Lourdes BA"
4323101,1506161,3147808,4304663,4322525,3142304,1500503,"Almeirim PA","Vicente Dutra RS","Rio Maria PA","Passa-Vinte MG"
5217609,1506138,1508100,5219753,3302270,2516201,1500602,"Altamira PA","Planaltina GO","Redenção PA","Tucuruí PA"
1505809,2202729,1501105,1500305,1505908,1502806,1500701,"Anajás PA","Portel PA","Cocal dos Alves PI","Bagre PA"
3305109,2504009,3301009,1600303,5201405,2609600,1500800,"Ananindeua PA","São João de Meriti RJ","Campina Grande PB","Campos dos Goytacazes RJ"
2922706,2913507,1506583,4128633,3156007,3127073,1500859,"Anapu PA","Nova Canaã BA","Iguaí BA","Santa Maria das Barreiras PA"
1508308,2205409,1303908,2206696,2405900,2206357,1500909,"Augusto Corrêa PA","Viseu PA","Joaquim Pires PI","São Paulo de Olivença AM"
1506005,2919603,2924207,1508035,2606507,1300029,1500958,"Aurora do Pará PA","Prainha PA","Macajuba BA","Pedro Alexandre BA"
2110401,2106706,2203230,2109270,2102507,2922250,1501006,"Aveiro PA","São Benedito do Rio Preto MA","Mirador MA","Currais PI"
1301803,1500701,1500305,1501956,1505809,2202729,1501105,"Bagre PA","Ipixuna AM","Anajás PA","Afuá PA"
2902658,2609105,2802809,2202059,2507606,1709005,1501204,"Baião PA","Banzaê BA","Machados PE","Indiaroba SE"
1101500,1507755,5106174,5007950,3157906,3161601,1501253,"Bannach PA","Seringueiras RO","Sapucaia PA","Nova Nazaré MT"
2613909,2601201,3302270,5217609,2400208,2612208,1501303,"Barcarena PA","Serra Talhada PE","Arcoverde PE","Japeri RJ"
2611606,3518800,5208707,4314902,3304904,1302603,1501402,"Belém PA","Recife PE","Guarulhos SP","Goiânia GO"
2902609,2802205,2402808,2705101,2508554,2602704,1501451,"Belterra PA","Baixa Grande BA","Feira Nova SE","Coronel Ezequiel RN"
2608909,1506500,2806701,2908507,2708907,1502202,1501501,"Benevides PA","Limoeiro PE","Santa Isabel do Pará PA","São Cristóvão SE"
1100379,2513943,1200138,3116803,2912301,2803906,1501576,"Bom Jesus do Tocantins PA","Alto Alegre dos Parecis RO","São Domingos do Cariri PB","Bujari AC"
2202505,2910008,2925709,2918753,1505650,3143153,1501600,"Bonito PA","Caracol PI","Dário Meira BA","Presidente Jânio Quadros BA"
2103307,2101608,2104800,2610905,1507607,2601904,1501709,"Bragança PA","Codó MA","Barra do Corda MA","Grajaú MA"
4117305,5103254,4127882,3135803,4115457,3138674,1501725,"Brasil Novo PA","Ortigueira PR","Colniza MT","Tunas do Paraná PR"
1705607,2614857,2603504,2402501,2910602,2401701,1501758,"Brejo Grande do Araguaia PA","Conceição do Tocantins TO","Tamandaré PE","Camocim de São Félix PE"
2803203,3162401,2503506,2610202,1301308,2703106,1501782,"Breu Branco PA","Itaporanga D'Ajuda SE","São João da Ponte MG","Cacimba de Dentro PB"
1505908,1503101,1502806,1505809,1500701,2202729,1501808,"Breves PA","Porto de Moz PA","Gurupá PA","Curralinho PA"
2210409,2913804,2304707,1300060,1301100,2112407,1501907,"Bujaru PA","São Miguel do Tapuio PI","Ipecaetá BA","Granja CE"
1301803,1400704,1501105,1500305,2105476,2202539,1501956,"Cachoeira do Piriá PA","Ipixuna AM","Uiramutã RR","Bagre PA"
2202109,2917003,2504900,2515906,2910008,3108255,1502004,"Cachoeira do Arari PA","Campinas do Piauí PI","Itiúba BA","Cruz do Espírito Santo PB"
2314102,2103307,2101707,1502905,2701407,2109809,1502103,"Cametá PA","Viçosa do Ceará CE","Codó MA","Barreirinhas MA"
